starttime_asc,starttime,endtime,scaninfo.00:0C:42:68:DE:D3.signallevel,scaninfo.00:15:6D:65:17:B6.signallevel,scaninfo.00:15:6D:67:1D:F3.signallevel,scaninfo.00:19:5B:6C:BC:D9.signallevel,scaninfo.00:19:5B:6C:C0:25.signallevel,scaninfo.00:19:5B:6C:C0:2A.signallevel,scaninfo.00:19:5B:77:A5:EE.signallevel,scaninfo.00:19:5B:ED:BC:68.signallevel,scaninfo.00:1C:F0:CB:E9:21.signallevel,scaninfo.00:1C:F0:CB:E9:25.signallevel,scaninfo.00:1C:F0:CB:EC:14.signallevel,scaninfo.00:1C:F0:CB:EC:5B.signallevel,scaninfo.00:1C:F0:CB:EC:70.signallevel,scaninfo.00:1C:F0:CB:EC:89.signallevel,scaninfo.00:1C:F0:CB:EC:92.signallevel,scaninfo.00:1C:F0:CB:EC:95.signallevel,scaninfo.00:22:B0:42:7F:FB.signallevel
Wed Jan  5 20:05:05 2011,1294238105.6,1294238108.38,-82,,,,,,,,,,,-64,,,,,
Wed Jan  5 20:05:28 2011,1294238128.44,1294238131.22,,-75,,,,,,,,,,-61,,-81,,,
Wed Jan  5 20:05:51 2011,1294238151.28,1294238154.16,-85,-75,,,,,,,,,,,,,-55,-82,
Wed Jan  5 20:06:34 2011,1294238194.29,1294238197.17,-81,-75,,,,,-82,,,,,-63,,,,,
Wed Jan  5 20:06:57 2011,1294238217.23,1294238220.0,-82,,,,,,,,,,,-68,,,,,
Wed Jan  5 20:07:20 2011,1294238240.07,1294238242.84,-83,-77,,,,,-82,,,,,-62,,-79,-67,-82,
Wed Jan  5 20:07:42 2011,1294238262.91,1294238265.79,-83,,,,,,,,,,,-68,,-79,-58,,
Wed Jan  5 20:08:05 2011,1294238285.85,1294238288.73,-81,,,,,,,,,,,-68,,,-73,-82,
Wed Jan  5 20:08:28 2011,1294238308.81,1294238311.68,-82,,,,,,,,,,,-63,-87,-82,-58,,
Wed Jan  5 20:08:51 2011,1294238331.73,1294238334.51,-81,,,,,,,,,,,-63,,-72,-55,-82,
Wed Jan  5 20:09:34 2011,1294238374.67,1294238377.44,-82,-76,,,,,-81,,,,,-79,,-72,-52,,
Wed Jan  5 20:09:57 2011,1294238397.51,1294238400.39,-81,-76,,,,,-80,,,,,-61,,,-58,-83,
Wed Jan  5 20:10:20 2011,1294238420.46,1294238423.23,-82,-75,,,,,-81,,,,,-61,,,,-82,
Wed Jan  5 20:10:43 2011,1294238443.31,1294238446.19,-83,,,,,,-81,,,,,-68,,,-68,-84,
Wed Jan  5 20:11:06 2011,1294238466.25,1294238469.03,-81,-76,,,,,-82,,,,,-62,,,,-82,
Wed Jan  5 20:11:29 2011,1294238489.1,1294238491.97,-82,-76,,,,,,,,,,-62,,-80,-59,-83,
Wed Jan  5 20:11:52 2011,1294238512.03,1294238514.8,-82,,,,,,,,,,,,,,,,
Wed Jan  5 20:12:14 2011,1294238534.87,1294238537.65,-81,-78,,,,,-81,,,,,-73,,-82,-52,,
Wed Jan  5 20:12:37 2011,1294238557.72,1294238560.49,-82,-77,,,,,,,,,,-72,,-80,-66,,
Wed Jan  5 20:13:00 2011,1294238580.56,1294238583.33,-84,-76,,,,,-82,,,,,-72,,-82,,-81,
Wed Jan  5 20:13:23 2011,1294238603.4,1294238606.17,-82,,,,,,-81,,,,,-64,,-71,-52,-82,
Wed Jan  5 20:13:46 2011,1294238626.24,1294238629.01,-81,-76,,,,,-81,,,,,-72,,-73,,,
Wed Jan  5 20:14:09 2011,1294238649.07,1294238651.85,-80,,,,,,-81,,,,,-62,,-74,,,
Wed Jan  5 20:14:31 2011,1294238671.93,1294238674.7,-84,-78,,,,,-81,,,,,-62,,-72,-60,,
Wed Jan  5 20:14:54 2011,1294238694.77,1294238697.54,-83,,,,,,,,,,,,,,,,
Wed Jan  5 20:15:17 2011,1294238717.62,1294238720.39,-82,-77,,,,,-81,,,,,-72,,-80,-59,,
Wed Jan  5 20:15:40 2011,1294238740.45,1294238743.22,,,,,,,,,,,,,,,-56,,
Wed Jan  5 20:16:03 2011,1294238763.29,1294238766.06,,,,,,,,,,,,-72,,-80,-55,,
Wed Jan  5 20:16:26 2011,1294238786.14,1294238788.91,-82,-75,,,,,-81,,,,,-72,,-77,,,
Wed Jan  5 20:16:48 2011,1294238808.98,1294238811.75,,,,,,,-81,,,,,,,,,-80,
Wed Jan  5 20:17:11 2011,1294238831.83,1294238834.6,,,,,,,-81,,,,,,,-76,-58,-81,
Wed Jan  5 20:17:34 2011,1294238854.67,1294238857.44,,-76,,,,,,,,,,,,-72,,,
Wed Jan  5 20:17:57 2011,1294238877.51,1294238880.39,-81,-76,,,,,-82,,,,,-68,,,-68,-82,
Wed Jan  5 20:18:20 2011,1294238900.46,1294238903.34,-84,-77,,,,,-82,,,-86,,-72,,-71,-56,-81,
Wed Jan  5 20:18:43 2011,1294238923.41,1294238926.19,-88,-75,,,,,,,,,,,,-72,-61,-82,
